race,word,category
african,sang,Cultural Expression
african,blowin,Cultural Expression
african,audition,Cultural Expression
african,gagné,Cultural Expression
african,folk,Cultural Expression
african,hut,Cultural Expression
african,imperfect,Emotions and Traits
african,cranky,Emotions and Traits
african,adventurous,Emotions and Traits
african,unlucky,Emotions and Traits
african,happy,Emotions and Traits
african,kid,Social Relations
african,husband,Social Relations
arab,soldier,Conflict and Survival
arab,fire,Conflict and Survival
arab,canyon,Conflict and Survival
arab,myth,Cultural Expression
arab,kite,Cultural Expression
arab,dog,Cultural Expression
arab,race,Identity and Migration
arab,immigrant,Identity and Migration
arab,political,Political Concepts
arab,law,Political Concepts
arab,state,Political Concepts
arab,citizenship,Political Concepts
arab,citizen,Political Concepts
arab,border,Political Concepts
arab,librarian,Professional and Social Settings
arab,restaurant,Professional and Social Settings
asian,market,Cultural Expression
asian,trustworthy,Emotions and Traits
asian,bewilderment,Emotions and Traits
asian,predicament,Emotions and Traits
asian,coldness,Emotions and Traits
asian,sorry,Emotions and Traits
asian,soul,Health and Human Condition
asian,medicine,Health and Human Condition
asian,medical,Health and Human Condition
asian,refugee,Health and Human Condition
asian,hospital,Health and Human Condition
asian,patient,Health and Human Condition
asian,briefing,Professional and Social Settings
asian,butler,Professional and Social Settings
asian,informer,Professional and Social Settings
caucasian,emigrant,Identity and Migration
caucasian,jewish,Identity and Migration
caucasian,british,Identity and Migration
caucasian,arbeely,Identity and Migration
caucasian,earth,Nature and Environment
caucasian,sail,Nature and Environment
caucasian,farm,Nature and Environment
caucasian,camp,Nature and Environment
caucasian,village,Nature and Environment
caucasian,master,Professional and Social Settings
caucasian,comic,Professional and Social Settings
caucasian,draw,Professional and Social Settings
caucasian,reader,Professional and Social Settings
caucasian,brown,Professional and Social Settings
caucasian,nymphet,Professional and Social Settings
caucasian,dolly,Professional and Social Settings
caucasian,daughter,Social Relations
latin,military,Conflict and Survival
latin,pedal,Cultural Expression
latin,lump,Cultural Expression
latin,resentment,Emotions and Traits
latin,naturally,Emotions and Traits
latin,cry,Emotions and Traits
latin,bloom,Nature and Environment
latin,sunlight,Nature and Environment
latin,regime,Political Concepts
latin,clothesline,Professional and Social Settings
latin,mop,Professional and Social Settings
latin,intern,Professional and Social Settings
latin,office,Professional and Social Settings
latin,ship,Professional and Social Settings
